coin_id,name,symbol,is_stablecoin,is_wrapped_coin,confidence,stablecoin_categories,wrapped_categories,all_categories,last_updated
origin-ether,Origin Ether,oeth,False,True,high,,Liquid Staking Tokens;Liquid Staked ETH;Liquid Staking,Decentralized Finance (DeFi);Liquid Staking Tokens;Ethereum Ecosystem;Liquid Staked ETH;Liquid Staking,2025-07-11T04:59:55.131358+00:00
pendle,Pendle,pendle,False,True,high,,Liquid Staking,Decentralized Exchange (DEX);Decentralized Finance (DeFi);Yield Farming;Automated Market Maker (AMM);BNB Chain Ecosystem;Derivatives;Lending/Borrowing Protocols;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Fixed Interest;LSDFi;Base Ecosystem;Restaking;LRTfi;Liquid Restaking Governance Tokens;Yield Tokenization Protocol;YZi Labs (Prev. Binance Labs) Portfolio;GMCI DeFi Index;Sonic Ecosystem;Liquid Staking;GMCI Index;BTCfi Protocol,2025-07-11T05:00:01.737902+00:00
phantom-staked-sol,Phantom Staked SOL,psol,False,True,high,,Liquid Staking,Solana Ecosystem;Liquid Staked SOL;Liquid Staking,2025-07-11T09:52:31.002012+00:00
puffer-finance,Puffer,puffer,False,True,high,,Liquid Staking,Smart Contract Platform;BNB Chain Ecosystem;Ethereum Ecosystem;Layer 2 (L2);Restaking;Liquid Restaking Governance Tokens;Rollup;Liquid Staking;Made in USA,2025-07-11T09:54:08.878927+00:00
renzo-restaked-eth,Renzo Restaked ETH,ezeth,False,True,high,,Liquid Staking Tokens;Liquid Staking,BNB Chain Ecosystem;Arbitrum Ecosystem;Liquid Staking Tokens;Linea Ecosystem;Base Ecosystem;Restaking;Liquid Restaking Tokens;Blast Ecosystem;Mode Ecosystem;Liquid Staking;Unichain Ecosystem,2025-07-11T05:00:24.098050+00:00
resolv-wstusr,Resolv wstUSR,wstusr,False,True,high,,Crypto-Backed Tokens;Wrapped-Tokens,Crypto-Backed Tokens;Decentralized Finance (DeFi);Wrapped-Tokens;Ethereum Ecosystem,2025-07-11T05:00:28.193045+00:00
rings-scbtc,Rings scBTC,scbtc,False,True,high,,Wrapped-Tokens,Wrapped-Tokens;Sonic Ecosystem,2025-07-11T09:50:58.980390+00:00
rocket-pool,Rocket Pool,rpl,False,True,high,,Liquid Staking,Business Services;Infrastructure;Smart Contract Platform;Decentralized Finance (DeFi);Polygon Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Liquid Staking Governance Tokens;Coinbase Ventures Portfolio;Proof of Stake (PoS);Index Coop Defi Index;Consensys Portfolio;Liquid Staking,2025-07-11T05:00:30.376478+00:00
rocket-pool-eth,Rocket Pool ETH,reth,False,True,high,,Liquid Staking Tokens;Liquid Staked ETH;Liquid Staking,Polygon Ecosystem;Arbitrum Ecosystem;Liquid Staking Tokens;Ethereum Ecosystem;Optimism Ecosystem;Base Ecosystem;Liquid Staked ETH;Liquid Staking,2025-07-11T05:00:30.924568+00:00
ssv-network,SSV Network,ssv,False,True,high,,Liquid Staking,Decentralized Finance (DeFi);Ethereum Ecosystem;Restaking;Coinbase Ventures Portfolio;OKX Ventures Portfolio;Liquid Staking,2025-07-11T09:51:27.475099+00:00
